path,status,category,notes
scripts/stocks/add_first15_opening_rvol_for_date.py,review,uncategorized,
scripts/stocks/add_float_to_past_week_ranked_signals.py,review,uncategorized,
scripts/stocks/add_today_scanner_risk_labels.py,keep,scanner_pipeline,Today/live scanner pipeline.
scripts/stocks/add_today_validated_setup_labels.py,keep,scanner_pipeline,Today/live scanner pipeline.
scripts/stocks/analyze_10y_cheap_directional_setups_fullsample.py,review,analysis,Research analysis script.
scripts/stocks/analyze_10y_cheap_long_entry_variants.py,review,analysis,Research analysis script.
scripts/stocks/analyze_10y_cheap_long_portfolio_curve.py,review,analysis,Research analysis script.
scripts/stocks/analyze_10y_cheap_long_portfolio_frequency.py,review,analysis,Research analysis script.
scripts/stocks/analyze_10y_cheap_long_target_stop_grid.py,review,analysis,Research analysis script.
scripts/stocks/analyze_10y_cheap_long_train_test_split.py,review,analysis,Research analysis script.
scripts/stocks/analyze_10y_cheap_open_activation_fullsample.py,review,analysis,Research analysis script.
scripts/stocks/analyze_10y_cheap_open_activation_pilot.py,review,analysis,Research analysis script.
scripts/stocks/analyze_10y_cheap_post_first15_path.py,review,analysis,Research analysis script.
scripts/stocks/analyze_10y_cheap_trade_realism.py,review,analysis,Research analysis script.
scripts/stocks/analyze_10y_cheap_trade_realism_by_price_bucket.py,review,analysis,Research analysis script.
scripts/stocks/analyze_10y_full_panel_volume_from_scratch.py,review,analysis,Research analysis script.
scripts/stocks/analyze_10y_full_pilot_post_first15_path_by_price_bucket.py,review,analysis,Research analysis script.
scripts/stocks/analyze_10y_high_price_best_long_combined_filter.py,review,analysis,Research analysis script.
scripts/stocks/analyze_10y_high_price_best_long_combined_filter_stability.py,review,analysis,Research analysis script.
scripts/stocks/analyze_10y_high_price_best_long_filters.py,review,analysis,Research analysis script.
scripts/stocks/analyze_10y_high_price_candidate_stability.py,review,analysis,Research analysis script.
scripts/stocks/analyze_10y_high_price_expanded_custom_target_stop_grid.py,review,analysis,Research analysis script.
scripts/stocks/analyze_10y_high_price_filtered_long_target_stop.py,review,analysis,Research analysis script.
scripts/stocks/analyze_10y_high_price_first15_premarket_level_trap_entries.py,review,analysis,Research analysis script.
scripts/stocks/analyze_10y_high_price_short_fade_expanded_post_first15_path.py,review,analysis,Research analysis script.
scripts/stocks/analyze_10y_high_price_short_fade_post_first15_path.py,review,analysis,Research analysis script.
scripts/stocks/analyze_10y_high_price_target_stop_grid.py,review,analysis,Research analysis script.
scripts/stocks/analyze_10y_premarket_vs_first15_pilot.py,review,analysis,Research analysis script.
scripts/stocks/analyze_10y_price_regime_local_volume_percentiles.py,review,analysis,Research analysis script.
scripts/stocks/analyze_10y_price_x_rvol_robust.py,review,analysis,Research analysis script.
scripts/stocks/analyze_abc_gap_early_bar_behavior.py,review,analysis,Research analysis script.
scripts/stocks/analyze_abc_gap_effect.py,review,analysis,Research analysis script.
scripts/stocks/analyze_daily_panel_volume_quantiles.py,review,analysis,Research analysis script.
scripts/stocks/analyze_daily_price_quantiles.py,review,analysis,Research analysis script.
scripts/stocks/analyze_daily_rvol_extreme_tail.py,review,analysis,Research analysis script.
scripts/stocks/analyze_daily_rvol_extreme_tail_10y.py,review,analysis,Research analysis script.
scripts/stocks/analyze_early_volume_vs_daily_volume_for_range.py,review,analysis,Research analysis script.
scripts/stocks/analyze_historical_candidates_spy_gap.py,review,analysis,Research analysis script.
scripts/stocks/analyze_prior_day_volume_context_old_research.py,review,analysis,Research analysis script.
scripts/stocks/analyze_prior_last15_balanced_percentiles.py,review,analysis,Research analysis script.
scripts/stocks/analyze_prior_last15_context_interactions.py,review,analysis,Research analysis script.
scripts/stocks/analyze_prior_last15_target_stop.py,review,analysis,Research analysis script.
scripts/stocks/analyze_second15_behavior_abc_gap.py,review,analysis,Research analysis script.
scripts/stocks/apply_abc_gap_rules_to_past_week.py,review,research_helper,Research helper script.
scripts/stocks/backtest_10_to_50_first15_gap_setup.py,review,backtest,Backtest script; check whether still current.
scripts/stocks/backtest_10_to_50_from_full_tasks.py,review,backtest,Backtest script; check whether still current.
scripts/stocks/backtest_10_to_50_live_safe_first15_full.py,review,backtest,Backtest script; check whether still current.
scripts/stocks/backtest_abc_prior_last15_buckets.py,review,backtest,Backtest script; check whether still current.
scripts/stocks/backtest_daily_best_past_week.py,review,backtest,Backtest script; check whether still current.
